wwf_row_id,seafood_category,main_common_name,secondary_common_name,scientific_name,sustainability_rating,origin,production_method_final,certification,alternatives_under_wwf_malaysia_improvement_project,source_pdf_page,canonical_fish_id,fish_type,description,context
55,Fish,Siakap Putih,Asian seabass / Barramundi,Lates calcarifer,Avoid,Malaysia,Pond culture (Farmed),,AIP,2,,Marine-estuarine fish,"A versatile Asian seabass found in estuaries, coastal waters and farms, known for its mild flavour and firm flesh.","WWF highlights risks in Malaysian barramundi pond farming including effects on soil fertility and salinisation of soil and water bodies. The guide also notes that some small Malaysian farms depend on trash fish, resulting in a high Fish Feed Dependency Ratio. Although pond systems can have lower disease risk than open cages, WWF still rates this record Avoid and points consumers to AIP alternatives."
56,Fish,Tamban / Sardin,Sardine,Spratelloides gracilis,Reduce,Malaysia,Purse seine (Wild caught),,,2,,Marine pelagic fish,A small schooling sardine associated with warm coastal waters and widely used as a food fish in Southeast Asia.,WWF rates Tamban / Sardin Reduce for the stated Malaysia purse seine (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
57,Fish,Tenggiri,Narrow-barred Spanish Mackerel,Scomberomorus commerson,Reduce,Malaysia,Hook and line (WIld caught),,,2,,Marine pelagic fish,"A large, fast-swimming mackerel with firm flesh, widely consumed in Malaysia and other tropical Asian markets.","WWF assesses the same Narrow-barred Spanish Mackerel species differently by fishing method. Hook-and-line is highly selective and has much lower bycatch and discard levels, so that record is Reduce; the gillnet record is Avoid. WWF also notes that the species is Near Threatened, stocks are not fully assessed across its range and catch data are limited. The method therefore materially affects the classification."
58,Fish,Tenggiri,Narrow-barred Spanish Mackerel,Scomberomorus commerson,Avoid,Malaysia,Gillnets (Wild caught),,,2,,Marine pelagic fish,"A large, fast-swimming mackerel with firm flesh, widely consumed in Malaysia and other tropical Asian markets.","WWF assesses the same Narrow-barred Spanish Mackerel species differently by fishing method. Hook-and-line is highly selective and has much lower bycatch and discard levels, so that record is Reduce; the gillnet record is Avoid. WWF also notes that the species is Near Threatened, stocks are not fully assessed across its range and catch data are limited. The method therefore materially affects the classification."
59,Fish,Terubok,Longtail Shad,Tenualosa macrura,Reduce,Malaysia,Gillnets (Wild caught),,,2,,Anadromous fish,"A long-bodied shad associated with coastal waters and river-influenced habitats, important in regional fisheries.",WWF rates Terubok Reduce for the stated Malaysia gillnets (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
60,Fish,Tilapia,Tilapia,Oreochromis Niloticus,Reduce,Malaysia,Cage/ Pond culture (Farmed),,,2,,Freshwater fish,"A hardy freshwater tilapia commonly farmed for its mild flavour, firm flesh and adaptable production conditions.","WWF provides two Malaysian tilapia assessments. The general Malaysian cage/pond-culture record is Reduce, while the Hulu Perak cage-culture record is Best Choice and ASC certified. The guide notes that ASC-certified tilapia is available from Tasik Temenggor, Perak. This illustrates that production location and responsible farming practices can materially change the sustainability assessment."
61,Fish,Tilapia,Tilapia,Oreochromis Niloticus,Best Choice,Malaysia (Hulu Perak),Cage Culture (Farmed),ASC,,2,,Freshwater fish,"A farmed Nile tilapia associated with freshwater culture systems and valued as an accessible, mild-flavoured food fish.","WWF provides two Malaysian tilapia assessments. The general Malaysian cage/pond-culture record is Reduce, while the Hulu Perak cage-culture record is Best Choice and ASC certified. The guide notes that ASC-certified tilapia is available from Tasik Temenggor, Perak. This illustrates that production location and responsible farming practices can materially change the sustainability assessment."
62,Fish,Tongkol,Longtail Tuna,Thunnus tonggol,Reduce,Malaysia,Purse seine (Wild caught),,,2,,Marine pelagic fish,A tropical tuna that lives in coastal and offshore waters and is widely used in Southeast Asian fisheries.,WWF rates Tongkol Reduce for the stated Malaysia purse seine (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
63,Fish,Tongkol Kurik,Eastern Little Tuna,Euthynnus affinis,Reduce,Malaysia,Purse seine (Wild caught),,,2,,Marine pelagic fish,"A small tropical tuna with firm flesh, commonly found in warm coastal and offshore waters.",WWF rates Tongkol Kurik Reduce for the stated Malaysia purse seine (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
64,Fish,Tongkol Selasih,Frigate Tuna,Auxis thazard,Reduce,Malaysia,Purse seine (Wild caught),,,2,,Marine pelagic fish,"A small tuna species found in warm ocean waters, recognised by its compact body and strong swimming ability.",WWF rates Tongkol Selasih Reduce for the stated Malaysia purse seine (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
65,Prawn,Geragau / Belacan,Belacan Shrimp,Acetes spp.,Reduce,Malaysia (Peninsular),Bag Nets (Wild caught),,,2,,Marine crustacean,"Tiny shrimp harvested for use fresh, dried or fermented, including as an ingredient in Malaysian belacan.",WWF rates Geragau / Belacan Reduce for the stated Malaysia (Peninsular) bag nets (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
66,Prawn,Udang Harimau,Tiger Prawn,Penaeus monodon,Reduce,Malaysia (Peninsular),Pond culture (Farmed),,AIP,2,,Marine/farmed crustacean,A large tropical prawn widely farmed in ponds and valued for its firm flesh and distinctive striped appearance.,"WWF rates Malaysian Peninsular farmed Tiger Prawn Reduce and recommends the WWF-Malaysia Aquaculture Improvement Project as an alternative. The guide therefore distinguishes conventional pond-culture production from the improved practices pursued through AIP. SukaSeafood should communicate the Reduce rating as a signal to limit consumption relative to Best Choice products and, where relevant, prefer improved AIP farmed sources."
67,Prawn,Udang Lipan,Mantis Shrimp,Squilla spp.,Avoid,Malaysia,Trawl (Wild caught),,,3,,Marine crustacean,"A large marine crustacean with elongated limbs, living on or near the seabed and often sold whole.",WWF rates Malaysian Mantis Shrimp Avoid and records trawl as the wild-capture method. The S.O.S. page gives no additional species-specific rationale for this entry. WWF's Avoid category covers fisheries judged unsustainable or overfished and aquaculture with negative environmental impacts. The user-facing explanation should therefore stay conservative and source-based rather than attributing an unsupported species-specific impact.
68,Prawn,Udang Putih,Banana Shrimp,Penaeus merguiensis,Reduce,Malaysia,Gillnets (Wild caught),,,3,,Marine crustacean,"A tropical banana prawn found in coastal waters and estuaries, commonly harvested in Southeast Asian fisheries.",WWF rates Udang Putih Reduce for the stated Malaysia gillnets (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
69,Prawn,Udang Putih Pasifik,White-leg Prawn,Penaeus vannamei,Reduce,Malaysia (Peninsular),Pond culture (Farmed),,AIP,3,,Marine/farmed crustacean,"A widely farmed tropical prawn with a pale body, valued for its mild flavour and dependable aquaculture performance.","WWF rates Malaysian Peninsular farmed White-leg Prawn Reduce and points consumers toward the WWF-Malaysia Aquaculture Improvement Project. The key distinction is between conventional pond culture and farming practices being improved through AIP. Rather than inventing a species-specific impact, SukaSeafood should explain that WWF considers the assessed production context environmentally risky enough for moderation and recommends improved farming pathways."
70,Shellfish,Boston Lobster,American / Canadian Lobster,Homarus americanus,Avoid,Canada,Pots/ Traps (Wild caught),,,3,,Marine crustacean,"A cold-water lobster with large claws, associated with the northwest Atlantic and prized for its sweet meat.","WWF highlights entanglement of endangered North Atlantic right whales and interactions with other protected species such as seabirds, sea turtles, sharks, rays and marine mammals in the North Atlantic trap-and-pot fishery. Discard rates and non-ETP bycatch are low and benthic impacts are moderate to low, but the documented whale impact is serious enough to support an Avoid rating."
71,Shellfish,Kepah,Clam,Placuna placenta,Best Choice,Malaysia (Peninsular),Hand Collection,,,3,,Bivalve shellfish,A burrowing coastal clam associated with sandy and muddy intertidal areas and collected for fresh seafood.,"WWF rates Kepah Best Choice for the stated Malaysia (Peninsular) hand collection context. The S.O.S. Guide does not provide an additional species-specific note for this record. Under WWF's published framework, Best Choice is reserved for well-managed, non-overexploited fisheries or aquaculture assessed as lower impact. WWF therefore presents this record as a preferred seafood option."
72,Shellfish,Kerang,Blood Cockle,Anadara granosa,Best Choice,Malaysia (Peninsular),Bottom Culture (Farmed),,,3,,Bivalve shellfish,A filter-feeding cockle that lives in muddy coastal flats and is widely harvested and farmed in Southeast Asia.,"WWF rates Kerang Best Choice for the stated Malaysia (Peninsular) bottom culture (farmed) context. The S.O.S. Guide does not provide an additional species-specific note for this record. Under WWF's published framework, Best Choice is reserved for well-managed, non-overexploited fisheries or aquaculture assessed as lower impact. WWF therefore presents this record as a preferred seafood option."
73,Shellfish,Kupang,Blue Mussel,Mytilus edulis,Best Choice,Norway,Hand Collection,,,3,,Bivalve shellfish,A cold-water mussel that grows on rocky shores and other firm surfaces and is widely eaten around the world.,"WWF rates Kupang Best Choice for the stated Norway hand collection context. The S.O.S. Guide does not provide an additional species-specific note for this record. Under WWF's published framework, Best Choice is reserved for well-managed, non-overexploited fisheries or aquaculture assessed as lower impact. WWF therefore presents this record as a preferred seafood option."
74,Shellfish,Kupang / Siput Sudu,Green Mussel,Perna viridis,Best Choice,Malaysia,Raft culture (Farmed),,,3,,Bivalve shellfish,A tropical green-shelled mussel that grows in sheltered coastal waters and is commonly farmed on rafts.,"WWF rates Kupang / Siput Sudu Best Choice for the stated Malaysia raft culture (farmed) context. The S.O.S. Guide does not provide an additional species-specific note for this record. Under WWF's published framework, Best Choice is reserved for well-managed, non-overexploited fisheries or aquaculture assessed as lower impact. WWF therefore presents this record as a preferred seafood option."
75,Shellfish,Lala,Lala clam,Marcia marmorata,Best Choice,Malaysia,Hand Collection,,,3,,Bivalve shellfish,A coastal clam found in shallow sandy and muddy areas and collected as a common shellfish food.,"WWF rates Lala Best Choice for the stated Malaysia hand collection context. The S.O.S. Guide does not provide an additional species-specific note for this record. Under WWF's published framework, Best Choice is reserved for well-managed, non-overexploited fisheries or aquaculture assessed as lower impact. WWF therefore presents this record as a preferred seafood option."
76,Shellfish,Siput Retak Seribu,Carpet Clam,Paphia undulata,Reduce,Malaysia (Peninsular),Dredger (Wild caught),,,3,,Bivalve shellfish,A burrowing carpet clam associated with shallow coastal sediments and harvested in Malaysian waters.,WWF rates Siput Retak Seribu Reduce for the stated Malaysia (Peninsular) dredger (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
77,Shellfish,Tiram,Oysters,Crassostrea belcheri/ Ostrea,Best Choice,Malaysia (Peninsular),Rack/ Raft Culture (Farmed),,,3,,Bivalve shellfish,Oysters are filter-feeding bivalves commonly grown on racks or rafts in sheltered coastal waters.,"WWF rates Tiram Best Choice for the stated Malaysia (Peninsular) rack/ raft culture (farmed) context. The S.O.S. Guide does not provide an additional species-specific note for this record. Under WWF's published framework, Best Choice is reserved for well-managed, non-overexploited fisheries or aquaculture assessed as lower impact. WWF therefore presents this record as a preferred seafood option."
78,Shellfish,Udang Karang,Mud-spiny Lobster,Panulirus polyhagus,Avoid,Malaysia (Peninsular),Trawl (Wild caught),,,3,,Marine crustacean,"A spiny lobster associated with tropical coastal and reef habitats, recognised by its long antennae and hard shell.","WWF rates the Malaysian Peninsular mud-spiny lobster Avoid. The assessed method is trawling, and WWF's wider S.O.S. guidance describes trawl fisheries as potentially non-selective and capable of damaging habitat and creating bycatch. Because the source does not provide a longer species-specific note for this row, SukaSeafood should keep the explanation focused on the documented production context and Avoid classification."
79,Shellfish,Udang Karang,Rock Lobster,Panulirus cygnus,Best Choice,Western Australia,Pots/ Traps (Wild caught),,,3,,Marine crustacean,"A large Western Australian rock lobster with a robust shell and long antennae, prized for its sweet meat.","WWF rates Western Australian Rock Lobster Best Choice. The guide says the pot/trap fishery is unlikely to cause significant damage to endangered, threatened and protected species, has low discard rates with discarded catch released alive, and has negligible overall ecosystem impact. Stock status is described as healthy. Traps can affect reef habitat, but WWF considers that impact generally low compared with other fishing methods."
80,Shellfish,Udang Lobok,Slipper Lobster,Thennus orientalis,Avoid,Malaysia,Trawl (Wild caught),,,3,,Marine crustacean,"A flattened lobster with broad antennae and a hard, rough body, generally associated with warm coastal waters.",WWF rates Udang Lobok Avoid for the stated Malaysia trawl (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Avoid as covering unsustainable or overfished fisheries and aquaculture systems that cause negative environmental impacts. SukaSeafood should communicate this as a high-risk choice and avoid adding unsupported reasons.
81,Squid,Sotong,Mitre Squid,Uroteutis chinensis,Avoid,Malaysia,Trawl (Wild caught),,,3,,Cephalopod,"A squid with a compact body and fins, living in tropical marine waters and commonly caught by trawlers.","WWF rates Malaysian squid fisheries Avoid. The S.O.S. guide says Malaysian squid stock status is unknown because of data deficiency and identifies trawling as a common capture method. WWF describes trawls as highly detrimental because they are non-selective, prone to habitat destruction and can create bycatch of endangered, threatened and protected species. Those combined uncertainties and impacts support Avoid."
82,Squid,Sotong Biasa / Cumit-cumit,Indian Squid,Loligo duvauceli,Avoid,Malaysia,Trawl (Wild caught),,,3,,Cephalopod,"A common tropical squid with an elongated body and fins, widely used in Southeast Asian seafood dishes.","WWF rates Malaysian Indian Squid Avoid. The guide provides no additional species-specific note for this entry, but places it in the Malaysian trawl fishery context. WWF's guidance describes Reduce as a risk category and Avoid as covering unsustainable or overfished fisheries or harmful aquaculture. Here, the stated trawl method and Avoid classification should be presented without adding unsupported species-level claims."
83,Squid,Sotong Katak,Needle Cuttlefish,Sepia spp,Avoid,Malaysia,Trawl (Wild caught),,,3,,Cephalopod,"A cuttlefish with a broad body and internal cuttlebone, found in shallow tropical marine waters.","WWF rates Malaysian Needle Cuttlefish Avoid. The guide gives trawl as the wild-capture method and does not add a species-specific note for this entry. WWF's broader assessment framework uses Avoid for fisheries considered unsustainable or overfished. SukaSeafood should therefore explain the rating using the source's stated trawl context and Avoid category, without inventing a more precise biological cause."
84,Squid,Sotong Mengabang,Oval Squid,Sepioteuthis lessoniana,Reduce,Malaysia (Peninsular),Traps (Wild caught),,,3,,Cephalopod,"A larger tropical squid with broad fins along the mantle, commonly found in coastal waters and valued as seafood.",WWF rates Sotong Mengabang Reduce for the stated Malaysia (Peninsular) traps (wild caught) context. The S.O.S. Guide does not provide an additional species-specific note for this record. WWF defines Reduce as seafood from fisheries at risk of becoming unsustainable or aquaculture that may carry environmental risks. Consumers are advised to eat it only occasionally when Best Choice options are unavailable.
